Customer ID,Total Spending,Number of Orders,Total Quantity,Average Discount,Total Profit,Average Order Value,Purchase Frequency,Cluster,Customer Segment
AA-10315,5563.56,5,30,0.09090909090909091,-362.8825,1112.712,5,2,Silver
AA-10375,1056.39,9,41,0.08000000000000002,277.3824,117.37666666666668,9,2,Silver
AA-10480,1790.5120000000002,4,36,0.016666666666666666,435.8274,447.62800000000004,4,2,Silver
AA-10645,5086.9349999999995,6,64,0.06388888888888888,857.8033,847.8224999999999,6,0,Gold
AB-10015,886.156,3,13,0.06666666666666667,129.3465,295.38533333333334,3,2,Silver
AB-10060,7755.62,8,56,0.044444444444444446,2054.5885,969.4525,8,3,Platinum
AB-10105,14473.570999999998,10,73,0.24,5444.8055,1447.3570999999997,10,3,Platinum
AB-10150,966.71,5,37,0.13333333333333333,313.6597,193.342,5,2,Silver
AB-10165,1113.838,8,48,0.13571428571428573,220.813,139.22975,8,2,Silver
AB-10255,914.5319999999999,9,39,0.1,264.5675,101.61466666666666,9,2,Silver
AB-10600,1515.862,4,38,0.375,-274.9604,378.9655,4,1,Bronze
AC-10420,925.8,3,17,0.32,-62.1342,308.59999999999997,3,1,Bronze
AC-10450,5527.846,7,43,0.18888888888888888,1366.0098,789.6922857142856,7,0,Gold
AC-10615,2537.6859999999997,5,59,0.1111111111111111,298.8273,507.5371999999999,5,2,Silver
AC-10660,657.316,5,16,0.18333333333333335,-28.700399999999995,131.4632,5,1,Bronze
AD-10180,6106.88,8,40,0.05833333333333333,1869.9294,763.36,8,3,Platinum
AF-10870,2052.908,7,51,0.2,317.9712,293.27257142857144,7,0,Gold
AF-10885,861.565,4,37,0.2571428571428572,-163.1175,215.39125,4,1,Bronze
AG-10270,2582.898,5,58,0.014285714285714287,732.7399,516.5796,5,2,Silver
AG-10300,367.548,4,16,0.08,59.288399999999996,91.887,4,2,Silver
AG-10330,660.972,5,47,0.23333333333333334,-5.137100000000006,132.1944,5,1,Bronze
AG-10390,200.945,5,33,0.22499999999999998,69.2784,40.189,5,1,Bronze
AG-10495,2356.855,8,93,0.20476190476190476,295.6668,294.606875,8,0,Gold
AG-10525,1455.038,4,33,0.15555555555555556,-152.7613,363.7595,4,2,Silver
AG-10675,3489.0396000000005,7,54,0.16133333333333333,-246.42570000000003,498.43422857142866,7,0,Gold
AG-10765,170.584,4,20,0.45999999999999996,-8.431000000000001,42.646,4,1,Bronze
AG-10900,4510.797,10,92,0.16666666666666666,343.6824,451.07969999999995,10,0,Gold
AH-10030,1744.7,7,54,0.09090909090909091,365.2152,249.24285714285716,7,2,Silver
AH-10075,3250.337,10,75,0.135,281.189,325.0337,10,0,Gold
AH-10120,1735.5140000000001,7,65,0.23750000000000002,-2.3145999999999773,247.93057142857145,7,0,Gold
AH-10195,1587.452,4,28,0.35,-378.5509,396.863,4,1,Bronze
AH-10210,4805.344,9,53,0.09230769230769233,1308.5546,533.9271111111111,9,0,Gold
AH-10465,2495.3916,5,35,0.14,-196.12009999999998,499.07831999999996,5,2,Silver
AH-10585,738.504,4,17,0.12000000000000002,83.96300000000001,184.626,4,2,Silver
AH-10690,7888.294,12,102,0.21739130434782608,1298.0166,657.3578333333334,12,0,Gold
AI-10855,4375.786,10,72,0.07222222222222223,867.7271000000001,437.5786,10,0,Gold
AJ-10780,4867.344,7,62,0.08666666666666667,150.71300000000005,695.3348571428571,7,0,Gold
AJ-10795,4501.391,7,88,0.08333333333333333,1158.7064,643.0558571428571,7,0,Gold
